parent_id,child_id,shard_id,status,selected_region,reason,link_state
DT04-PARENT,DT04-PARENT-S01,1,SUCCEEDED,海南,满足硬约束，命中海南优先规则,OTN_UP
DT04-PARENT,DT04-PARENT-S02,2,SUCCEEDED,海南,满足硬约束，命中海南优先规则,OTN_UP
DT04-PARENT,DT04-PARENT-S03,3,SUCCEEDED,重庆,延迟、成本、能耗和负载归一化加权得分最低,OTN_UP
DT04-PARENT,DT04-PARENT-S04,4,SUCCEEDED,重庆,延迟、成本、能耗和负载归一化加权得分最低,OTN_UP
DT04-PARENT,DT04-PARENT-S05,5,SUCCEEDED,重庆,延迟、成本、能耗和负载归一化加权得分最低,OTN_UP
DT04-PARENT,DT04-PARENT-S06,6,SUCCEEDED,重庆,延迟、成本、能耗和负载归一化加权得分最低,OTN_UP
DT04-PARENT,DT04-PARENT-S07,7,SUCCEEDED,海南,满足硬约束，命中海南优先规则,OTN_UP
DT04-PARENT,DT04-PARENT-S08,8,SUCCEEDED,海南,满足硬约束，命中海南优先规则,OTN_UP
DT04-PARENT,DT04-PARENT-S03,3,FAILED-LINK,重庆,运行中检测到OTN链路中断,OTN_DOWN
DT04-PARENT,DT04-PARENT-S05-RETRY,5,RETRY-SUCCEEDED,海南,满足硬约束，命中海南优先规则,OTN_DOWN
