parent_id,child_id,shard_id,sample_start,sample_end,samples,round,task_id,selected_region,gpu_id,mode,accepted,rejected,reason,status,memory_gb,runtime_s,node_model,start_s,finish_s,transfer_s,result_sha256,reference_sha256,reference_match
DT05-A,DT05-A-S01,1,1,512,512,1,DT05-A-S01,海南,海南-GPU1,海南优先,['海南'],"[{'region': '重庆', 'reason': '亲和性不匹配'}]",满足硬约束，命中海南优先规则,SUCCEEDED,8.0,8.0,RTX 4090,0.0,5.0,0.0,45fe73d2153db59b4d0b111209f347f4ad4717c3ba533cd4b73d935b7946500f,45fe73d2153db59b4d0b111209f347f4ad4717c3ba533cd4b73d935b7946500f,True
DT05-A,DT05-A-S02,2,513,1024,512,1,DT05-A-S02,重庆,重庆-GPU1,海南优先,['重庆'],"[{'region': '海南', 'reason': '亲和性不匹配'}]",延迟、成本、能耗和负载归一化加权得分最低,SUCCEEDED,8.0,8.0,RTX 4070,0.35,7.35,0.35,15ab35ff8bd80d3cfb2927eee90aad9f6bf6d516c9afc1747fbcd83b62be337e,15ab35ff8bd80d3cfb2927eee90aad9f6bf6d516c9afc1747fbcd83b62be337e,True
DT05-A,DT05-A-S03,3,1025,1536,512,1,DT05-A-S03,海南,海南-GPU1,海南优先,"['海南', '重庆']",[],满足硬约束，命中海南优先规则,SUCCEEDED,8.0,8.0,RTX 4090,5.0,10.0,0.0,81450a467e370704e95aae44d9272d797bab043d6c850677b633063af80e91c2,81450a467e370704e95aae44d9272d797bab043d6c850677b633063af80e91c2,True
DT05-A,DT05-A-S04,4,1537,2048,512,1,DT05-A-S04,海南,海南-GPU1,海南优先,"['海南', '重庆']",[],满足硬约束，命中海南优先规则,SUCCEEDED,8.0,8.0,RTX 4090,10.0,15.0,0.0,93ddd881a0c147ed79567c7c96db1777d4bb421d1ce85294fa3453c606da88ba,93ddd881a0c147ed79567c7c96db1777d4bb421d1ce85294fa3453c606da88ba,True
DT05-A,DT05-A-S05,5,2049,2560,512,1,DT05-A-S05,海南,海南-GPU1,海南优先,"['海南', '重庆']",[],满足硬约束，命中海南优先规则,SUCCEEDED,8.0,8.0,RTX 4090,15.0,20.0,0.0,d06588bc597e78b0944cb5767f06a3ceea77eff6266f46d709e1bfdab199476d,d06588bc597e78b0944cb5767f06a3ceea77eff6266f46d709e1bfdab199476d,True
DT05-A,DT05-A-S06,6,2561,3072,512,1,DT05-A-S06,海南,海南-GPU1,海南优先,"['海南', '重庆']",[],满足硬约束，命中海南优先规则,SUCCEEDED,8.0,8.0,RTX 4090,20.0,25.0,0.0,a8d2548c1dd11e2b9ea89d218d3fb1a049b2a2f84386b5ef003b8182c5806250,a8d2548c1dd11e2b9ea89d218d3fb1a049b2a2f84386b5ef003b8182c5806250,True
DT05-A,DT05-A-S07,7,3073,3584,512,1,DT05-A-S07,海南,海南-GPU1,海南优先,"['海南', '重庆']",[],满足硬约束，命中海南优先规则,SUCCEEDED,8.0,8.0,RTX 4090,25.0,30.0,0.0,65832de3d093bab227a1d0a35eb9d243a5c8ce553227e9068be29ac3e4e3450c,65832de3d093bab227a1d0a35eb9d243a5c8ce553227e9068be29ac3e4e3450c,True
DT05-A,DT05-A-S08,8,3585,4096,512,1,DT05-A-S08,海南,海南-GPU1,海南优先,"['海南', '重庆']",[],满足硬约束，命中海南优先规则,SUCCEEDED,8.0,8.0,RTX 4090,30.0,35.0,0.0,8c24ee80c8aadd2ef9afaa76aa9a63dba3f9bce824607be254d4a2a05f9914af,8c24ee80c8aadd2ef9afaa76aa9a63dba3f9bce824607be254d4a2a05f9914af,True
DT05-B,DT05-B-S01,1,1,512,512,1,DT05-B-S01,重庆,重庆-GPU1,海南优先,['重庆'],"[{'region': '海南', 'reason': '亲和性不匹配'}]",延迟、成本、能耗和负载归一化加权得分最低,SUCCEEDED,8.0,8.0,RTX 4070,0.35,7.35,0.35,470527970e61199bc7e8c9198510352d6fb4f0d70102a70be6d449bdf183e55f,470527970e61199bc7e8c9198510352d6fb4f0d70102a70be6d449bdf183e55f,True
DT05-B,DT05-B-S02,2,513,1024,512,1,DT05-B-S02,海南,海南-GPU1,海南优先,['海南'],"[{'region': '重庆', 'reason': '亲和性不匹配'}]",满足硬约束，命中海南优先规则,SUCCEEDED,8.0,8.0,RTX 4090,0.0,5.0,0.0,2c53aaafdc096b77d79c697f5379c7e0722d074df88a8a76ad90c53619a62b71,2c53aaafdc096b77d79c697f5379c7e0722d074df88a8a76ad90c53619a62b71,True
DT05-B,DT05-B-S03,3,1025,1536,512,1,DT05-B-S03,海南,海南-GPU1,海南优先,"['海南', '重庆']",[],满足硬约束，命中海南优先规则,SUCCEEDED,8.0,8.0,RTX 4090,5.0,10.0,0.0,aaa727bd08426c310a6be94e676e4a5167a756820a4a6b83a78e03f2717f403b,aaa727bd08426c310a6be94e676e4a5167a756820a4a6b83a78e03f2717f403b,True
DT05-B,DT05-B-S04,4,1537,2048,512,1,DT05-B-S04,海南,海南-GPU1,海南优先,"['海南', '重庆']",[],满足硬约束，命中海南优先规则,SUCCEEDED,8.0,8.0,RTX 4090,10.0,15.0,0.0,d54777a7d79daaa7cf75adfa2d0d2fdf687720a083f9152f8b4c3a24f33216c7,d54777a7d79daaa7cf75adfa2d0d2fdf687720a083f9152f8b4c3a24f33216c7,True
DT05-B,DT05-B-S05,5,2049,2560,512,1,DT05-B-S05,海南,海南-GPU1,海南优先,"['海南', '重庆']",[],满足硬约束，命中海南优先规则,SUCCEEDED,8.0,8.0,RTX 4090,15.0,20.0,0.0,79da4f6baf175119407090fff244cb86d6ae6048250e05407883ad17975b793e,79da4f6baf175119407090fff244cb86d6ae6048250e05407883ad17975b793e,True
DT05-B,DT05-B-S06,6,2561,3072,512,1,DT05-B-S06,海南,海南-GPU1,海南优先,"['海南', '重庆']",[],满足硬约束，命中海南优先规则,SUCCEEDED,8.0,8.0,RTX 4090,20.0,25.0,0.0,3c2f8b30f83d20c5e82e6817de336222badaa10b6660d12c73ad9f02e317a6f7,3c2f8b30f83d20c5e82e6817de336222badaa10b6660d12c73ad9f02e317a6f7,True
DT05-B,DT05-B-S07,7,3073,3584,512,1,DT05-B-S07,海南,海南-GPU1,海南优先,"['海南', '重庆']",[],满足硬约束，命中海南优先规则,SUCCEEDED,8.0,8.0,RTX 4090,25.0,30.0,0.0,0a1b54246c4bc4cfaea4687662bfa3dd9956cf468c18cdbfcb08f292e700e536,0a1b54246c4bc4cfaea4687662bfa3dd9956cf468c18cdbfcb08f292e700e536,True
DT05-B,DT05-B-S08,8,3585,4096,512,1,DT05-B-S08,海南,海南-GPU1,海南优先,"['海南', '重庆']",[],满足硬约束，命中海南优先规则,SUCCEEDED,8.0,8.0,RTX 4090,30.0,35.0,0.0,64fbea7f6307dc047c0a56d5b34959d5aa94d5211828cc3f9139f4b3e2465fd1,64fbea7f6307dc047c0a56d5b34959d5aa94d5211828cc3f9139f4b3e2465fd1,True
