mode,task_id,region,memory_gb,latency_ms,cost,energy,status
静态本地,STR-001,重庆,8.0,53.32378576451022,16.64757152902044,3.329514305804088,SUCCEEDED
静态本地,STR-002,海南,10.0,31.568364977787944,16.420912444469856,1.313672995557588,SUCCEEDED
静态本地,STR-003,重庆,10.0,51.64808081302437,13.296161626048745,2.659232325209749,SUCCEEDED
静态本地,STR-004,海南,8.0,32.71990307881464,19.299757697036593,1.5439806157629272,SUCCEEDED
静态本地,STR-005,,16.0,,,,UNSCHEDULED
静态本地,STR-006,海南,8.0,31.959843176344986,17.399607940862463,1.3919686352689966,SUCCEEDED
静态本地,STR-007,重庆,10.0,54.980380472406885,19.960760944813767,3.992152188962754,SUCCEEDED
静态本地,STR-008,海南,10.0,33.58393183033809,21.459829575845223,1.7167863660676175,SUCCEEDED
静态本地,STR-009,重庆,10.0,54.52629501799428,19.052590035988555,3.810518007197711,SUCCEEDED
静态本地,STR-010,海南,16.0,29.875056148341727,12.187640370854318,0.9750112296683452,SUCCEEDED
静态本地,STR-011,重庆,10.0,53.00715487636769,16.014309752735393,3.202861950547079,SUCCEEDED
静态本地,STR-012,海南,8.0,34.04522076690158,22.61305191725395,1.8090441533803159,SUCCEEDED
静态本地,STR-013,重庆,8.0,51.31816721907262,12.636334438145237,2.5272668876290476,SUCCEEDED
静态本地,STR-014,海南,8.0,36.87873311085587,29.696832777139672,2.375746622171173,SUCCEEDED
静态本地,STR-015,重庆,8.0,54.65751885692131,19.31503771384261,3.863007542768522,SUCCEEDED
静态本地,STR-016,海南,8.0,33.05476979844846,20.13692449612115,1.6109539596896916,SUCCEEDED
静态本地,STR-017,重庆,8.0,53.956197578885366,17.912395157770725,3.5824790315541453,SUCCEEDED
静态本地,STR-018,海南,8.0,34.81926086492345,24.548152162308625,1.9638521729846896,SUCCEEDED
静态本地,STR-019,重庆,10.0,50.73696816028761,11.473936320575215,2.294787264115043,SUCCEEDED
静态本地,STR-020,海南,10.0,32.615110643948285,19.037776609870708,1.5230221287896561,SUCCEEDED
静态本地,STR-021,,16.0,,,,UNSCHEDULED
静态本地,STR-022,海南,8.0,30.463370530970174,13.658426327425431,1.0926741061940342,SUCCEEDED
静态本地,STR-023,重庆,8.0,56.57480768243782,23.149615364875636,4.629923072975127,SUCCEEDED
静态本地,STR-024,海南,16.0,34.1232563192666,22.808140798166505,1.82465126385332,SUCCEEDED
静态本地,STR-025,重庆,8.0,49.89562205873673,9.791244117473457,1.9582488234946915,SUCCEEDED
静态本地,STR-026,海南,16.0,29.937739823931445,12.344349559828613,0.9875479647862888,SUCCEEDED
静态本地,STR-027,重庆,8.0,51.35439357880129,12.708787157602593,2.541757431520519,SUCCEEDED
静态本地,STR-028,海南,8.0,34.81460330695969,24.536508267399224,1.9629206613919374,SUCCEEDED
静态本地,STR-029,重庆,8.0,49.81839656728082,9.636793134561644,1.927358626912329,SUCCEEDED
静态本地,STR-030,海南,8.0,29.053291532167016,10.13322883041754,0.810658306433403,SUCCEEDED
静态本地,STR-031,重庆,10.0,54.502097618461576,19.004195236923145,3.8008390473846294,SUCCEEDED
静态本地,STR-032,海南,8.0,36.310522448250836,28.276306120627098,2.2621044896501674,SUCCEEDED
静态本地,STR-033,,16.0,,,,UNSCHEDULED
静态本地,STR-034,海南,10.0,35.36319301151968,25.907982528799195,2.072638602303935,SUCCEEDED
