parent_id,child_id,shard_id,sample_start,sample_end,samples,round,task_id,selected_region,gpu_id,mode,accepted,rejected,reason,status,memory_gb,runtime_s,node_model,start_s,finish_s,transfer_s,result_sha256,reference_sha256,reference_match
TC21-A,TC21-A-S01,1,1,512,512,1,TC21-A-S01,海南,海南-GPU1,海南优先,['海南'],"[{'region': '重庆', 'reason': '亲和性不匹配'}]",满足硬约束，命中海南优先规则,SUCCEEDED,8.0,8.0,RTX 4090,0.0,5.0,0.0,7669cf360276b31bfa0ad1feebb067e0f676078da894fc751a6d40f887c2332b,7669cf360276b31bfa0ad1feebb067e0f676078da894fc751a6d40f887c2332b,True
TC21-A,TC21-A-S02,2,513,1024,512,1,TC21-A-S02,重庆,重庆-GPU1,海南优先,['重庆'],"[{'region': '海南', 'reason': '亲和性不匹配'}]",延迟、成本、能耗和负载归一化加权得分最低,SUCCEEDED,8.0,8.0,RTX 4070,0.35,7.35,0.35,d3dea8b879a0147cb31632f8bedc9edd6c72726b3a7463286b1621f660b4e54b,d3dea8b879a0147cb31632f8bedc9edd6c72726b3a7463286b1621f660b4e54b,True
TC21-A,TC21-A-S03,3,1025,1536,512,1,TC21-A-S03,海南,海南-GPU1,海南优先,"['海南', '重庆']",[],满足硬约束，命中海南优先规则,SUCCEEDED,8.0,8.0,RTX 4090,5.0,10.0,0.0,a7ed11d819e68015d681fc22adabb50ff3dd722c5195d3ef37c49c3519726efd,a7ed11d819e68015d681fc22adabb50ff3dd722c5195d3ef37c49c3519726efd,True
TC21-A,TC21-A-S04,4,1537,2048,512,1,TC21-A-S04,海南,海南-GPU1,海南优先,"['海南', '重庆']",[],满足硬约束，命中海南优先规则,SUCCEEDED,8.0,8.0,RTX 4090,10.0,15.0,0.0,627bc4e3b74bdb36b965dd6652c041fc6cca84201d5a39c8823b500a6b42ceaf,627bc4e3b74bdb36b965dd6652c041fc6cca84201d5a39c8823b500a6b42ceaf,True
TC21-A,TC21-A-S05,5,2049,2560,512,1,TC21-A-S05,海南,海南-GPU1,海南优先,"['海南', '重庆']",[],满足硬约束，命中海南优先规则,SUCCEEDED,8.0,8.0,RTX 4090,15.0,20.0,0.0,9353df29a1b65e4d900ae2794c823fcefef7fef57917f670285537c1fca04a67,9353df29a1b65e4d900ae2794c823fcefef7fef57917f670285537c1fca04a67,True
TC21-A,TC21-A-S06,6,2561,3072,512,1,TC21-A-S06,海南,海南-GPU1,海南优先,"['海南', '重庆']",[],满足硬约束，命中海南优先规则,SUCCEEDED,8.0,8.0,RTX 4090,20.0,25.0,0.0,448497ce1cac1a6f5ff6eb9f2d5532e0cd6c434da4a6b68397fd87b60c5dd49b,448497ce1cac1a6f5ff6eb9f2d5532e0cd6c434da4a6b68397fd87b60c5dd49b,True
TC21-A,TC21-A-S07,7,3073,3584,512,1,TC21-A-S07,海南,海南-GPU1,海南优先,"['海南', '重庆']",[],满足硬约束，命中海南优先规则,SUCCEEDED,8.0,8.0,RTX 4090,25.0,30.0,0.0,d8316d5e4412fce8b491b23883be28cb66f1ad656c79baf1225bebdb7de2fc2a,d8316d5e4412fce8b491b23883be28cb66f1ad656c79baf1225bebdb7de2fc2a,True
TC21-A,TC21-A-S08,8,3585,4096,512,1,TC21-A-S08,海南,海南-GPU1,海南优先,"['海南', '重庆']",[],满足硬约束，命中海南优先规则,SUCCEEDED,8.0,8.0,RTX 4090,30.0,35.0,0.0,e9e26fa929171c33fa7ca131f05b34153ba30250415c91036a2943400c8f0de0,e9e26fa929171c33fa7ca131f05b34153ba30250415c91036a2943400c8f0de0,True
TC21-B,TC21-B-S01,1,1,512,512,1,TC21-B-S01,重庆,重庆-GPU1,海南优先,['重庆'],"[{'region': '海南', 'reason': '亲和性不匹配'}]",延迟、成本、能耗和负载归一化加权得分最低,SUCCEEDED,8.0,8.0,RTX 4070,0.35,7.35,0.35,171537d67a97a6a10d162e955e93a18ce3ad1ce6f869577afc6ff6b27a0758ba,171537d67a97a6a10d162e955e93a18ce3ad1ce6f869577afc6ff6b27a0758ba,True
TC21-B,TC21-B-S02,2,513,1024,512,1,TC21-B-S02,海南,海南-GPU1,海南优先,['海南'],"[{'region': '重庆', 'reason': '亲和性不匹配'}]",满足硬约束，命中海南优先规则,SUCCEEDED,8.0,8.0,RTX 4090,0.0,5.0,0.0,a8322d435aa0496f50c2ac9b7b6e0781c63ce1dfc326196944fe1de4154004c7,a8322d435aa0496f50c2ac9b7b6e0781c63ce1dfc326196944fe1de4154004c7,True
