virtual_slot,virtual_hour,task_id,required_memory_gb,mode,selected_region,status
0,0.0,TC30-H00-T1,16.0,加权平均,海南,SUCCEEDED
0,0.0,TC30-H00-T2,8.0,海南优先,海南,SUCCEEDED
1,0.25,TC30-H01-T1,8.0,海南优先,海南,SUCCEEDED
1,0.25,TC30-H01-T2,8.0,海南优先,海南,SUCCEEDED
2,0.5,TC30-H02-T1,8.0,加权平均,海南,SUCCEEDED
2,0.5,TC30-H02-T2,8.0,海南优先,海南,SUCCEEDED
3,0.75,TC30-H03-T1,8.0,加权平均,海南,SUCCEEDED
3,0.75,TC30-H03-T2,8.0,加权平均,海南,SUCCEEDED
4,1.0,TC30-H04-T1,8.0,海南优先,海南,SUCCEEDED
4,1.0,TC30-H04-T2,8.0,海南优先,海南,SUCCEEDED
5,1.25,TC30-H05-T1,8.0,海南优先,海南,SUCCEEDED
5,1.25,TC30-H05-T2,8.0,海南优先,海南,SUCCEEDED
6,1.5,TC30-H06-T1,8.0,海南优先,海南,SUCCEEDED
6,1.5,TC30-H06-T2,8.0,海南优先,海南,SUCCEEDED
7,1.75,TC30-H07-T1,8.0,海南优先,海南,SUCCEEDED
7,1.75,TC30-H07-T2,8.0,海南优先,海南,SUCCEEDED
8,2.0,TC30-H08-T1,8.0,海南优先,海南,SUCCEEDED
8,2.0,TC30-H08-T2,8.0,海南优先,海南,SUCCEEDED
9,2.25,TC30-H09-T1,8.0,海南优先,海南,SUCCEEDED
9,2.25,TC30-H09-T2,8.0,海南优先,海南,SUCCEEDED
10,2.5,TC30-H10-T1,8.0,海南优先,海南,SUCCEEDED
10,2.5,TC30-H10-T2,8.0,海南优先,海南,SUCCEEDED
11,2.75,TC30-H11-T1,8.0,海南优先,海南,SUCCEEDED
11,2.75,TC30-H11-T2,8.0,海南优先,海南,SUCCEEDED
12,3.0,TC30-H12-T1,8.0,加权平均,海南,SUCCEEDED
12,3.0,TC30-H12-T2,16.0,海南优先,海南,SUCCEEDED
13,3.25,TC30-H13-T1,16.0,加权平均,海南,SUCCEEDED
13,3.25,TC30-H13-T2,8.0,海南优先,海南,SUCCEEDED
14,3.5,TC30-H14-T1,8.0,加权平均,海南,SUCCEEDED
14,3.5,TC30-H14-T2,8.0,海南优先,海南,SUCCEEDED
15,3.75,TC30-H15-T1,8.0,加权平均,海南,SUCCEEDED
15,3.75,TC30-H15-T2,8.0,海南优先,海南,SUCCEEDED
16,4.0,TC30-H16-T1,8.0,加权平均,海南,SUCCEEDED
16,4.0,TC30-H16-T2,8.0,加权平均,海南,SUCCEEDED
